jp,en
play hide and seek (かくれんぼ),play hide and seek
feed the rabbits (うさぎにえさをあげる),feed the rabbits
jump rope (なわとびをする),jump rope
play tag　（おにごっこをする),play tag
play the guitar　（ぎたーをひく）,play the guitar
draw a picture　（絵を描く）,draw a picture
ride a unicycle　（一転写に乗る）,ride a unicycle
play dodgeball　（ドッジボールをする）,play dodgeball
water the flowers　（花に水をあげる),water the flowers
read books　（本を読む）,read books
play soccer　（サッカーをする）,play soccer
watch TV　（テレビを見る）,watch TV
cook　（料理をする）,cook
clean the house　（いえをそうじする）,clean the house
study English　（英語を勉強する）,study English
play with my friends　（友達と遊ぶ）,play with my friends
